Filename,Total_Words,AI_Words,Student_Words,Student_Ratio,AI_Ratio
S04-H9-X1.txt,1879,1871,8,0.004,0.996
S10-R3-Z7.txt,2376,2376,0,0.000,1.000
S01-M5-R7.txt,1472,1436,36,0.024,0.976
S02-K3-Q9.txt,1154,1154,0,0.000,1.000
S07-C9-M2.txt,1483,1483,0,0.000,1.000
S08-P7-L5.txt,2003,2003,0,0.000,1.000
S06-B4-J8.txt,1434,1434,0,0.000,1.000
S09-E1-K6.txt,2035,2035,0,0.000,1.000
